a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.6,13.0,0.0,-14.196143669774756,-2.889113770914264,-2.104479031986557,1,Done,naphthalene_theta=0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,5.0,-16.828412577626295,-0.2173330684308894,-4.098436610191129,1,Done,naphthalene_theta=5_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,5.0,-9.790352034149693,-0.9223098054062576,-1.9864331058342937,1,Done,naphthalene_theta=5_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,5.0,-12.452352365711706,-2.287454045377672,-1.96936106873909,2,Done,naphthalene_theta=5_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.7,0.0,-16.43443669937551,-0.2070092739304528,-4.005104537878652,1,Done,naphthalene_theta=0_a=6.5_b=7.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,0.0,-15.005606469349006,-3.244753808423411,-2.1290247131255446,1,Done,naphthalene_theta=0_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,5.0,-16.782409819657914,-0.19180282403249294,-4.099701042898232,1,Done,naphthalene_theta=5_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,5.0,-9.622985076741317,-0.9223098054062576,-1.9445913664822,2,Done,naphthalene_theta=5_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,5.0,-16.677119916654192,-0.2459437592769973,-4.046308099525048,1,Done,naphthalene_theta=5_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,10.0,-17.555756908492185,-0.2489005864481441,-4.264488933898972,1,Done,naphthalene_theta=10_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,10.0,-17.447862838977017,-0.2218260399531573,-4.251052689767676,1,Done,naphthalene_theta=10_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,0.0,-14.766530179535039,-3.244753808423411,-2.069255640672054,2,Done,naphthalene_theta=0_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,5.0,-16.836818701471202,-0.2173330684308894,-4.100538141152357,1,Done,naphthalene_theta=5_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,5.0,-9.427159285754897,-0.9223098054062576,-1.895634918735596,1,Done,naphthalene_theta=5_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,10.0,-17.505832212744277,-0.2489005864481441,-4.252007759961998,1,Done,naphthalene_theta=10_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,5.0,-16.83175971568562,-0.19180282403249294,-4.112038516905159,1,Done,naphthalene_theta=5_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,0.0,-14.508385115652347,-3.244753808423411,-2.0047193747013807,2,Done,naphthalene_theta=0_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,5.0,-12.656501449062487,-2.287454045377672,-2.0203983395767864,1,Done,naphthalene_theta=5_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,10.0,-17.44761936529539,-0.2489005864481441,-4.237454548099777,1,Done,naphthalene_theta=10_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,5.0,-16.622827751096338,-0.2459437592769973,-4.032735058135587,1,Done,naphthalene_theta=5_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,0.0,-14.372983517823739,-2.889113770914264,-2.148688993998803,2,Done,naphthalene_theta=0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.3,5.0,-12.224583805887963,-2.287454045377672,-1.912418928783154,1,Done,naphthalene_theta=5_a=3.5_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,10.0,-17.536577692488212,-0.2218260399531573,-4.2732314031454735,1,Done,naphthalene_theta=10_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.0,5.0,-16.836271513020616,-0.2173330684308894,-4.10040134403971,1,Done,naphthalene_theta=5_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,10.0,-17.35251645965036,-0.2218260399531573,-4.227216094936011,1,Done,naphthalene_theta=10_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,0.0,-15.221530150272885,-3.244753808423411,-2.183005633356516,2,Done,naphthalene_theta=0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,5.0,-14.246899188729005,-3.035240769619122,-2.0441044123726897,1,Done,naphthalene_theta=5_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.0,5.0,-16.873988628853112,-0.19180282403249294,-4.122595745197032,1,Done,naphthalene_theta=5_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.2,10.0,-17.379643717082214,-0.1969182855682448,-4.246451786486431,1,Done,naphthalene_theta=10_a=6.7_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,5.0,-16.827119906898588,-0.2173330684308894,-4.098113442509201,1,Done,naphthalene_theta=5_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,5.0,-14.010335448547265,-3.035240769619122,-1.9849634773272555,1,Done,naphthalene_theta=5_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
