a,b,theta,A1,A2,cx,cy,cz,E,E_p,E_t,machine_type,status,file_name,E_i0,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4
5.8,8.4,64.5,0.0,30.0,0.0,-3.1,7.271784262597808,-33.472233049338676,-3.563006800133735,-4.333241439569973,2,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.4_theta=64.5_cx=0.0_cy=-3.1_cz=7.27.log,-0.4015449041035026,-0.17391251400113106,-0.05527233582688496,-1.92415022829664,-0.013798317435430365,-0.013798317435430365,-1.92415022829664
5.6,8.5,65.0,-10.0,30.0,0.0,-3.5,7.2256973458715725,-34.367841675993986,-4.055698786571156,-4.292385518463561,1,Done,naphthalene_A1=-10_A2=30_a=5.6_b=8.5_theta=65.0_cx=0.0_cy=-3.5_cz=7.23.log,-0.4386276074219495,-0.14115460944594815,-0.051064881263300776,-1.9416031638975253,-0.01469879428623244,-0.01469879428623244,-1.9416031638975253
5.6,8.5,65.5,-10.0,30.0,0.0,-3.5,7.214697360837474,-34.58049602946267,-4.0542341782711455,-4.337690485379427,2,Done,naphthalene_A1=-10_A2=30_a=5.6_b=8.5_theta=65.5_cx=0.0_cy=-3.5_cz=7.21.log,-0.4341459310380742,-0.14427019661525264,-0.05169615626800805,-1.9509072547079995,-0.014353036182001231,-0.014353036182001231,-1.9509072547079995
5.8,8.3,66.5,-5.0,30.0,0.0,-3.0,7.266303390742793,-34.814746767515324,-3.7226516191149135,-4.5028850029048035,2,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.3_theta=66.5_cx=0.0_cy=-3.0_cz=7.27.log,-0.4704266767366789,-0.1636251150048338,-0.06531186832580715,-1.9708865456050264,-0.018907503777882084,-0.018907503777882084,-1.9708865456050264
5.8,8.3,66.5,-5.0,30.0,0.0,-3.0,7.266303390742793,-34.814746767515324,-3.7226516191149135,-4.502885002904804,1,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.3_theta=66.5_cx=0.0_cy=-3.0_cz=7.27.log,-0.4704266767366789,-0.1636251150048338,-0.06531186832580715,-1.9708865456050264,-0.018907503777882084,-0.018907503777882084,-1.9708865456050264
5.8,8.3,66.5,-5.0,30.0,0.0,-3.0,7.266303390742793,-34.814746767515324,-3.7226516191149135,-4.502885002904804,1,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.3_theta=66.5_cx=0.0_cy=-3.0_cz=7.27.log,-0.4704266767366789,-0.1636251150048338,-0.06531186832580715,-1.9708865456050264,-0.018907503777882084,-0.018907503777882084,-1.9708865456050264
5.8,8.3,66.5,-5.0,30.0,0.0,-3.0,7.266303390742793,-34.814746767515324,-3.7226516191149135,-4.5028850029048035,1,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.3_theta=66.5_cx=0.0_cy=-3.0_cz=7.27.log,-0.4704266767366789,-0.1636251150048338,-0.06531186832580715,-1.9708865456050264,-0.018907503777882084,-0.018907503777882084,-1.9708865456050264
5.8,8.5,63.5,0.0,30.0,0.0,-3.2,7.2699251601555,-33.598992579150945,-3.6977783778565936,-4.306009388092208,2,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.5_theta=63.5_cx=0.0_cy=-3.2_cz=7.27.log,-0.39050386555027217,-0.16675325244432315,-0.0490838322439231,-1.9292412169452289,-0.01243787570274435,-0.01243787570274435,-1.9292412169452289
5.8,8.3,66.5,-5.0,30.0,0.0,-3.0,7.266303390742793,-34.814746767515324,-3.7226516191149135,-4.502885002904804,2,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.3_theta=66.5_cx=0.0_cy=-3.0_cz=7.27.log,-0.4704266767366789,-0.1636251150048338,-0.06531186832580715,-1.9708865456050264,-0.018907503777882084,-0.018907503777882084,-1.9708865456050264
5.8,8.5,64.0,0.0,30.0,0.0,-3.2,7.2699251601555,-33.570316626806736,-3.641603055119049,-4.330850626487518,2,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.5_theta=64.0_cx=0.0_cy=-3.2_cz=7.27.log,-0.3849039662745781,-0.16841489885700867,-0.05030873173382133,-1.9270292441069607,-0.012083960114978254,-0.012083960114978254,-1.9270292441069607
