a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name,cx,cy,cz
7.3,5.8,26.0,0.0,-5.0,-27.68115159205627,-3.7464147954015066,-5.047080500313314,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.5,0.0,-10.0,-26.710387347033247,-3.6756599053624086,-4.839766884077108,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.1,26.5,0.0,10.0,-26.20094460854307,-3.4669626295217317,-4.816754837374901,1,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.5,0.0,5.0,-27.81171634281054,-3.7173924578819424,-5.094232856761664,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.8,26.5,0.0,-5.0,-27.68115159205627,-3.7464147954015066,-5.047080500313314,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.5,0.0,-5.0,-27.91383857477922,-3.693940526631195,-5.131489380379207,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.1,25.5,0.0,-10.0,-26.790069821639925,-3.5257107432116754,-4.934662083804142,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.1_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.5,0.0,10.0,-27.080595656298105,-3.863766067894176,-4.8382658801274365,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.5,0.0,5.0,-27.84768019570037,-3.5927965823211707,-5.165521757764509,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.5,0.0,-5.0,-27.81171508773696,-3.7173918303451496,-5.094232856761664,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.1,26.0,0.0,-10.0,-26.673219929682087,-3.498176859517116,-4.919216552661965,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.0,0.0,10.0,-26.927631309023127,-3.8612397127435534,-4.801287970884005,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.0,0.0,5.0,-27.811353641795,-3.5851930436911066,-5.160241888603196,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.5,0.0,-5.0,-27.84768019570037,-3.5927965823211707,-5.165521757764509,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.1,26.5,0.0,-10.0,-26.52840693655889,-3.466962629521732,-4.898620419378858,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.5,0.0,5.0,-27.737328797113147,-3.569153260497842,-5.149755569029367,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.5,0.0,10.0,-26.732271130545996,-3.8505864754552017,-4.757774544908899,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.0,0.0,-5.0,-27.811353641795,-3.5851930436911066,-5.160241888603196,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.5,0.0,-10.0,-27.276182993082326,-3.863766067894176,-4.887162714323496,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,25.5,0.0,5.0,-27.73184184951242,-3.687042309204117,-5.089439307776047,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.5,0.0,10.0,-27.02337929478381,-3.7187058363342658,-4.896491905528818,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.5,0.0,-5.0,-27.737328797113147,-3.569153260497842,-5.149755569029367,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.9,26.0,0.0,-10.0,-27.187668942729946,-3.861239712743554,-4.8662973793107085,1,Done,naphthalene_A1=0_A2=-10_a=7.4_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.4,5.8,26.0,0.0,5.0,-27.79979114246089,-3.7464147954015066,-5.0767403879144695,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.5,0.0,10.0,-26.88398673338817,-3.6999106568400753,-4.8710413549270015,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.1,25.5,0.0,10.0,-26.790069821639925,-3.5257107432116754,-4.934662083804142,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.1_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,25.5,0.0,-5.0,-27.73184184951242,-3.687042309204117,-5.089439307776047,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
