R1,R2,heri,R3t,R3p,phi1,phi2,E_mono_i,E_mono_t,E_t1,E_t2,E_t3,E_t4,E_p,E
5.0,0.7,58,-1.0,-0.5,28.0,2.0,-1059765.459477968,-1059765.0418826134,834.5892538153566,-10.969150903867558,-9.283866122597829,-9.752848271280527,-7.956349892076105,-2118741.830671848
5.0,0.7,58,-1.0,-0.5,29.0,-169.0,-1059765.507413457,-1059765.6462312192,-8.983583762543276,-10.283119322033599,1302.3655039977748,-9.260409798938781,-7.958634028909728,-2118273.2325216196
5.0,0.7,58,-1.0,-1.0,-150.0,41.0,-1059765.8626217677,-1059766.28070658,-8.602183184353635,210.51352819404565,-9.73075991962105,-8.48314453731291,-9.826750124106184,-2119368.0993880434
5.0,0.7,58,-1.0,-1.0,28.0,2.0,-1059765.459477968,-1059765.0418826134,834.5892538153566,-11.243874782696366,-9.283866122597829,-9.91086783958599,-8.322840833105147,-2118742.996397177
5.0,0.7,58,-1.0,-1.0,29.0,-167.0,-1059765.5073005052,-1059765.6439533578,-8.981538079911843,-10.21320843277499,1626.2873582672328,-9.595726042520255,-8.326354888733476,-2117950.3070779284
5.0,0.7,58,-1.0,-1.5,29.0,2.0,-1059765.5078464388,-1059765.041807312,961.0638315642718,-11.329856202704832,-9.273562408285215,-9.778519705869257,-7.973851146176457,-2118615.815462796
5.0,0.7,58,-1.0,-1.5,30.0,-167.0,-1059765.5585868976,-1059765.6441102354,-8.931048625381663,-10.081569385016337,1573.265674913535,-9.621259424136952,-7.978676697937772,-2118002.5282530496
5.0,0.7,58,-1.0,-2.0,29.0,2.0,-1059765.5078464388,-1059765.041807312,961.0638315642718,-11.077797985868528,-9.273562408285215,-9.364758436568081,-7.585083600832149,-2118614.372108219
5.0,0.7,58,-1.0,-2.0,30.0,-167.0,-1059765.5585868976,-1059765.6441102354,-8.931048625381663,-9.629034273326397,1573.265674913535,-9.33017636090517,-7.589915427844971,-2118001.0071123345
5.0,0.7,58,-1.0,0.0,-151.0,38.0,-1059765.8294076633,-1059766.063086112,-8.6195589362178,148.01294860965572,-9.722119106911123,-8.328362920787185,-1.5866088340990245,-2119413.7228037976
5.0,0.7,58,-1.0,0.0,29.0,2.0,-1059765.5078464388,-1059765.041807312,961.0638315642718,-10.923631329089403,-9.273562408285215,-9.732485571876168,-6.512248579412699,-2118612.4399986546
5.0,0.7,58,-1.0,0.0,30.0,-170.0,-1059765.558568072,-1059765.6477811688,-8.934418353717774,-10.552459164522588,1107.4924805760384,-9.13650167430751,-6.514237785944715,-2118465.3657234292
5.0,0.7,58,-1.0,0.5,-152.0,40.0,-1059765.799839392,-1059766.206961605,-8.615178916836157,99.97982542868704,-9.712919810321182,-8.370161361759529,15.537310752784833,-2119427.6506141517
5.0,0.7,58,-1.0,0.5,26.0,1.0,-1059765.3725678332,-1059765.0398808564,535.9039503911044,-10.751379834022373,-9.317833238979802,-10.084732035174966,-4.31820379011333,-2119033.298850987
5.0,0.7,58,-1.0,0.5,30.0,-167.0,-1059765.5585868976,-1059765.6441102354,-8.931048625381663,-10.624541237484664,1573.265674913535,-9.217996397987008,-4.321153086842969,-2117995.3529146537
5.0,0.7,58,-1.0,1.0,-151.0,42.0,-1059765.8299786972,-1059766.3545080314,-8.601712551899254,49.02042858931236,-9.724428343819454,-8.110554199898615,56.709402746288106,-2119396.1819477426
5.0,0.7,58,-1.0,1.0,24.0,1.0,-1059765.2987350065,-1059765.0401193101,392.18055346468464,-10.405577898258343,-9.342048849677667,-10.03475086367689,-2.4531562183983624,-2119172.8469909
5.0,0.7,58,-1.0,1.0,29.0,-166.0,-1059765.507225204,-1059765.6431564202,-8.980772517621517,-10.432485527126119,1803.3035492473282,-8.97019269876182,-2.451016409089789,-2117761.1323159384
5.0,0.7,58,-1.5,-0.5,-148.0,-167.0,-1059765.9415311501,-1059765.638563047,-8.272495705401525,-10.86293228669092,214.9221561749,-8.604065714636818,-8.93456895602867,-2119362.266569641
5.0,0.7,58,-1.5,-0.5,-152.0,40.0,-1059765.8020419523,-1059766.2064909723,-8.57039352809079,143.54525311244652,-9.64172252570279,-8.318071756744757,-8.813854857347906,-2119432.621177337
