a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.6,13.3,5.0,-32.07772134104744,-7.759097144124098,-4.13988176319981,1,Done,tetracene_theta=5.0_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.6,0.0,-35.22905648034066,-0.5467281276360154,-8.533900056267157,1,Done,tetracene_theta=0.0_a=6.6_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,0.0,-31.64173994236625,-7.4900271309306845,-4.165421420126222,1,Done,tetracene_theta=0.0_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,5.0,-36.5397742674686,-0.7790172692621127,-8.745434932236094,2,Done,tetracene_theta=5.0_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,10.0,-37.66989216790535,-0.7660830332897604,-9.034431525331456,2,Done,tetracene_theta=10.0_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.8,0.0,-36.501566438935704,-1.903838984435424,-8.173472117516212,2,Done,tetracene_theta=0.0_a=5.4_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,5.0,-30.894849929958585,-6.608226233627647,-4.419599365675823,1,Done,tetracene_theta=5.0_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.3,0.0,-36.119648792548105,-0.754908335278742,-8.652458030497655,1,Done,tetracene_theta=0.0_a=6.3_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,5.0,-36.67106441990472,-0.6972075356170535,-8.819162337167654,2,Done,tetracene_theta=5.0_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,10.0,-38.01202065986581,-0.6914143633330241,-9.157297983299939,2,Done,tetracene_theta=10.0_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,0.0,-30.330743540311232,-6.310836694552562,-4.427267537801527,1,Done,tetracene_theta=0.0_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.8,0.0,-36.53622758155689,-1.743152498966083,-8.26248064590618,2,Done,tetracene_theta=0.0_a=5.5_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,5.0,-33.50947074685246,-7.759097144124098,-4.497819114651065,1,Done,tetracene_theta=5.0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,5.0,-36.57520097261296,-0.6284462449839339,-8.82957712066127,2,Done,tetracene_theta=5.0_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
