a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
7.930952023559341,6.26258732474047,7.3,5.9,25.5,-23.008870082822874,-21.36496357433145,-2.6,-2.1,-54.25580476061441,-7.328549982863478,-9.698552341142204,-10.100800056301525
7.970570870395671,6.229767250869008,7.3,5.9,25.5,-23.670538484720456,-20.519713431905547,-2.6,-2.0,-54.062107483972795,-7.427611221559346,-9.698552341142204,-9.904890179284848
8.011242100947893,6.198386886924694,7.3,5.9,25.5,-24.32557523912611,-19.657501909410243,-2.6,-1.9,-53.86502667341847,-7.52565087378025,-9.698552341142204,-9.70831012178678
8.052949770115296,6.168468205316454,7.3,5.9,25.5,-24.973910905883407,-18.778151659475082,-2.6,-1.8,-53.68219661479816,-7.619670697138645,-9.698552341142204,-9.52287526911823
8.095677859203638,6.1400325732035,7.3,5.9,25.5,-25.615484320642164,-17.88151825576992,-2.6,-1.7,-53.52733718662057,-7.706834346055984,-9.698552341142204,-9.358281906112095
8.139410298049853,6.11310068623117,7.3,5.9,25.5,-26.250242369688888,-16.96749009268915,-2.6,-1.6,-53.41211003542412,-7.78456024476327,-9.698552341142204,-9.222942431806588
8.18413098624405,6.087692502089769,7.3,5.9,25.5,-26.87813975209865,-16.035988073869554,-2.6,-1.5,-53.346456174273044,-7.85100853361655,-9.698552341142204,-9.123667212377768
8.229823813423955,6.063827174318213,7.3,5.9,25.5,-27.499138731047157,-15.086965082617194,-2.6,-1.4,-53.33524759009015,-7.905055969837122,-9.698552341142204,-9.064015484065749
8.276472678623424,6.041522986797286,7.3,5.9,25.5,-28.11320887605596,-14.120405228859124,-2.6,-1.3,-53.37900386296678,-7.945575545774773,-9.698552341142204,-9.045374044566415
8.324061508662703,6.020797289396148,7.3,5.9,25.5,-28.72032679786948,-13.136322868847277,-2.6,-1.2,-53.47287057363428,-7.971550694666803,-9.698552341142204,-9.066332251008134
8.372574275573792,6.001666435249463,7.3,5.9,25.5,-29.320475877580744,-12.134761395498538,-2.6,-1.1,-53.6095799022587,-7.9828220292693,-9.698552341142204,-9.123415580717849
8.421995013059554,5.984145720150872,7.3,5.9,25.5,-29.91364599153488,-11.11579179892828,-2.6,-1.0,-53.78026889730245,-7.980108676012605,-9.698552341142204,-9.211473431496415
8.472307831990053,5.96824932455071,7.3,5.9,25.5,-30.49983323344744,-10.079510998391473,-2.6,-0.9,-53.971581636113115,-7.964630514383316,-9.698552341142204,-9.322607962531038
8.523496934944014,5.953990258641679,7.3,5.9,25.5,-31.07903963507926,-9.026039948449327,-2.6,-0.8,-54.16741244669538,-7.937685234937817,-9.698552341142204,-9.44746864726767
8.575546629807338,5.9413803110051795,7.3,5.9,25.5,-31.651272886712622,-7.955521523690553,-2.6,-0.7,-54.34907031711191,-7.901284634950571,-9.698552341142204,-9.57469818246318
8.628441342444185,5.930430001273095,7.3,5.9,25.5,-32.21654605857564,-6.868118187711913,-2.6,-0.6,-54.499520859331824,-7.858383031212725,-9.698552341142204,-9.692825057310984
8.682165628459295,5.921148537234985,7.3,5.9,25.5,-32.77487732426425,-5.764009453256529,-2.6,-0.5,-54.604015079676174,-7.812618726864457,-9.698552341142204,-9.790836471831426
8.736704184073076,5.913543776789007,7.3,5.9,25.5,-33.326289687115214,-4.643389141373567,-2.6,-0.4,-54.64954720484093,-7.767754271742888,-9.698552341142204,-9.858466989535373
8.792041856133308,5.907622195096772,7.3,5.9,25.5,-33.87081071038882,-3.506462448148349,-2.6,-0.3,-54.626976925414056,-7.727651362773031,-9.698552341142204,-9.887284758791791
8.848163651289457,5.903388857258177,7.3,5.9,25.5,-34.40847225202863,-2.3534428279075916,-2.6,-0.2,-54.5319706563605,-7.696002268465236,-9.698552341142204,-9.87143071857281
8.905054744357274,5.900847396772772,7.3,5.9,25.5,-34.939310204677035,-1.184548701776547,-2.6,-0.1,-54.36514210293535,-7.675728675443679,-9.698552341142204,-9.808290034881791
8.962700485902673,5.9,7.3,5.9,25.5,-35.46336424154059,0.0,-2.6,0.0,-54.131693322677165,-7.668741979054175,-9.698552341142204,-9.698552341142204
9.021086409075128,5.900847396772772,7.3,5.9,25.5,-35.98067756861832,1.1999854545192645,-2.6,0.1,-53.84094409458339,-7.675728675443679,-9.698552341142204,-9.546191030705812
9.08019823572151,5.903388857258177,7.3,5.9,25.5,-36.49129668372969,2.4151957155210484,-2.6,0.2,-53.50510952726472,-7.696002268465236,-9.698552341142204,-9.35800015402492
9.140021881811881,5.907622195096772,7.3,5.9,25.5,-36.99527114270714,3.645428631709024,-2.6,0.3,-53.138434099033475,-7.727651362773031,-9.698552341142204,-9.143013345601505
9.200543462209176,5.913543776789007,7.3,5.9,25.5,-37.49265333305034,4.8904959130836385,-2.6,0.4,-52.75587137194816,-7.767754271742888,-9.698552341142204,-8.911629073088989
