R1,R2,heri,phi1,phi2,FF
5.0,0.7,58.0,94.0,0.0,21.730601834387876
5.0,0.7,58.0,95.0,0.0,71.23516763594921
5.0,0.7,58.0,96.0,0.0,139.57095074846865
5.0,0.7,58.0,97.0,0.0,231.93228483849214
5.0,0.7,58.0,98.0,0.0,352.98268624675364
5.0,0.7,58.0,99.0,0.0,505.6758787012586
5.0,0.7,58.0,100.0,0.0,690.9691523047672
5.0,0.7,58.0,101.0,0.0,909.6888387234867
5.0,0.7,58.0,102.0,0.0,1166.3514027574226
5.0,0.7,58.0,103.0,0.0,1472.5690772772373
5.0,0.7,58.0,104.0,0.0,1848.1566500684942
5.0,0.7,58.0,105.0,0.0,2322.7361477912236
5.0,0.7,58.0,106.0,0.0,2946.199084913934
5.0,0.7,58.0,107.0,0.0,3818.7548652472447
5.0,0.7,58.0,108.0,0.0,5146.6699457558825
5.0,0.7,58.0,109.0,0.0,7302.395683858262
5.0,0.7,58.0,110.0,0.0,10787.953268691532
5.0,0.7,58.0,111.0,0.0,15908.04284400659
5.0,0.7,58.0,112.0,0.0,22140.981420729015
5.0,0.7,58.0,113.0,0.0,27943.588065289678
5.0,0.7,58.0,114.0,0.0,32041.655265613997
5.0,0.7,58.0,115.0,0.0,35322.55988478901
5.0,0.7,58.0,116.0,0.0,40616.591934350625
5.0,0.7,58.0,117.0,0.0,50139.85679489438
5.0,0.7,58.0,118.0,0.0,63270.42016319769
5.0,0.7,58.0,119.0,0.0,76283.27467350276
5.0,0.7,58.0,120.0,0.0,84086.29619859814
5.0,0.7,58.0,121.0,0.0,83278.84457653007
5.0,0.7,58.0,122.0,0.0,74481.62447000391
5.0,0.7,58.0,123.0,0.0,61789.04445719012
5.0,0.7,58.0,124.0,0.0,49925.227197234424
5.0,0.7,58.0,125.0,0.0,41837.94833617828
5.0,0.7,58.0,126.0,0.0,38276.69569221067
5.0,0.7,58.0,127.0,0.0,38649.26024686076
5.0,0.7,58.0,128.0,0.0,41877.84062383586
5.0,0.7,58.0,129.0,0.0,46763.66409147423
5.0,0.7,58.0,130.0,0.0,52061.817391320736
5.0,0.7,58.0,131.0,0.0,56559.02543311662
5.0,0.7,58.0,132.0,0.0,59253.0288954292
5.0,0.7,58.0,133.0,0.0,59563.9100757982
5.0,0.7,58.0,134.0,0.0,57442.24702195778
5.0,0.7,58.0,135.0,0.0,53284.0046885286
5.0,0.7,58.0,136.0,0.0,47695.80985824808
5.0,0.7,58.0,137.0,0.0,41271.61301058023
5.0,0.7,58.0,138.0,0.0,34515.61186507591
5.0,0.7,58.0,139.0,0.0,27887.2218669576
5.0,0.7,58.0,140.0,0.0,21830.382144230964
5.0,0.7,58.0,141.0,0.0,16711.360829671266
5.0,0.7,58.0,142.0,0.0,12725.311856858263
5.0,0.7,58.0,143.0,0.0,9866.021736832625
5.0,0.7,58.0,144.0,0.0,7977.97537141479
5.0,0.7,58.0,145.0,0.0,6842.0588322356225
5.0,0.7,58.0,146.0,0.0,6244.444955706446
5.0,0.7,58.0,147.0,0.0,6010.823733913441
5.0,0.7,58.0,148.0,0.0,6013.089604028706
5.0,0.7,58.0,149.0,0.0,6162.169584601212
5.0,0.7,58.0,150.0,0.0,6397.079463624123
5.0,0.7,58.0,151.0,0.0,6675.064221910149
5.0,0.7,58.0,152.0,0.0,6964.227290402912
5.0,0.7,58.0,153.0,0.0,7238.539290320234
5.0,0.7,58.0,154.0,0.0,7474.775223209402
5.0,0.7,58.0,155.0,0.0,7651.0749926521685
5.0,0.7,58.0,156.0,0.0,7747.017307579821
5.0,0.7,58.0,157.0,0.0,7745.093179616791
5.0,0.7,58.0,158.0,0.0,7633.188051241799
5.0,0.7,58.0,159.0,0.0,7407.258261466318
5.0,0.7,58.0,160.0,0.0,7073.111295094664
5.0,0.7,58.0,161.0,0.0,6646.357398608285
5.0,0.7,58.0,162.0,0.0,6150.241183116127
5.0,0.7,58.0,163.0,0.0,5611.900719034696
5.0,0.7,58.0,164.0,0.0,5058.189600971181
5.0,0.7,58.0,165.0,0.0,4512.239385927789
5.0,0.7,58.0,166.0,0.0,3991.486794971998
5.0,0.7,58.0,167.0,0.0,3507.256588540237
5.0,0.7,58.0,168.0,0.0,3065.50596451647
5.0,0.7,58.0,169.0,0.0,2668.152135518341
5.0,0.7,58.0,170.0,0.0,2314.4788786824925
5.0,0.7,58.0,171.0,0.0,2002.3136141368864
5.0,0.7,58.0,172.0,0.0,1728.8600740435234
5.0,0.7,58.0,173.0,0.0,1491.2005214172818
5.0,0.7,58.0,174.0,0.0,1286.5391773796005
5.0,0.7,58.0,175.0,0.0,1112.266765691766
5.0,0.7,58.0,176.0,0.0,965.9113968258932
5.0,0.7,58.0,177.0,0.0,845.0230465712027
5.0,0.7,58.0,178.0,0.0,747.0279573999107
5.0,0.7,58.0,179.0,0.0,669.087803778414
5.0,0.7,58.0,180.0,0.0,608.0028830354833
