R1,R2,heri,phi1,phi2,FF
5.0,1.0,58.0,145.0,0.0,314561.7280199698
5.0,1.0,58.0,146.0,0.0,240560.1542528567
5.0,1.0,58.0,147.0,0.0,181646.13666924788
5.0,1.0,58.0,148.0,0.0,136921.31460372498
5.0,1.0,58.0,149.0,0.0,104249.54339978934
5.0,1.0,58.0,150.0,0.0,81134.83148390419
5.0,1.0,58.0,151.0,0.0,65240.20422581004
5.0,1.0,58.0,152.0,0.0,54624.79269602731
5.0,1.0,58.0,153.0,0.0,47803.75757770639
5.0,1.0,58.0,154.0,0.0,43717.317583724354
5.0,1.0,58.0,155.0,0.0,41665.56107838559
5.0,1.0,58.0,156.0,0.0,41240.81307623918
5.0,1.0,58.0,157.0,0.0,42273.282528506985
5.0,1.0,58.0,158.0,0.0,44797.86013711203
5.0,1.0,58.0,159.0,0.0,49048.89481624501
5.0,1.0,58.0,160.0,0.0,55495.034548248506
5.0,1.0,58.0,161.0,0.0,64937.360295713544
5.0,1.0,58.0,162.0,0.0,78705.47766579041
5.0,1.0,58.0,163.0,0.0,98971.30114703739
5.0,1.0,58.0,164.0,0.0,129080.7452931608
5.0,1.0,58.0,165.0,0.0,173444.01776219986
5.0,1.0,58.0,166.0,0.0,235937.0084694132
5.0,1.0,58.0,167.0,0.0,315775.3946501523
5.0,1.0,58.0,168.0,0.0,402387.4898543988
5.0,1.0,58.0,169.0,0.0,475707.44641161425
5.0,1.0,58.0,170.0,0.0,517371.0987802192
5.0,1.0,58.0,171.0,0.0,524790.1082450197
5.0,1.0,58.0,172.0,0.0,511496.35898462415
5.0,1.0,58.0,173.0,0.0,493199.6298172595
5.0,1.0,58.0,174.0,0.0,476412.4915298063
5.0,1.0,58.0,175.0,0.0,458878.43194036547
5.0,1.0,58.0,176.0,0.0,436133.3852428722
5.0,1.0,58.0,177.0,0.0,406561.80293498747
5.0,1.0,58.0,178.0,0.0,372772.1341747594
5.0,1.0,58.0,179.0,0.0,340754.57879962836
5.0,1.0,58.0,180.0,0.0,318892.1789305705
