R1,R2,Eheri,Epara,Etotal
4.9,0.9,-12.195,-8.6733,-66.1266
5,0.9,-11.4112,-8.1271,-61.899
4,1,16.0297,-8.6419,46.835
4.1,1,5.1202,-9.6045,1.2718
4.2,1,-2.5303,-10.0855,-30.2922
4.3,1,-7.6543,-10.194,-51.0052
4.4,1,-10.8562,-10.0328,-63.4904
4.5,1,-12.6208,-9.6904,-69.864
4.6,1,-13.3438,-9.2345,-71.8442
4.7,1,-13.357,-8.7159,-70.8598
4.8,1,-12.9243,-8.171,-68.0392
4.9,1,-12.2446,-7.6223,-64.223
5,1,-11.4475,-7.0836,-59.9572
4,1.1,15.2772,-10.0617,40.9854
4.1,1.1,4.6072,-10.1965,-1.9642
4.2,1.1,-2.9191,-10.0535,-31.7834
4.3,1.1,-7.9734,-9.7218,-51.3372
4.4,1.1,-11.1152,-9.2728,-63.0064
4.5,1.1,-12.8127,-8.7579,-68.7666
4.6,1.1,-13.4686,-8.2142,-70.3028
4.7,1.1,-13.4254,-7.6655,-69.0326
4.8,1.1,-12.9563,-7.125,-66.0752
4.9,1.1,-12.2584,-6.6026,-62.2388
5,1.1,-11.455,-6.1016,-58.0232
4,1.2,15.0031,-10.0729,39.8666
4.1,1.2,4.4686,-9.7531,-1.6318
4.2,1.2,-3.0157,-9.3117,-30.6862
4.3,1.2,-8.0675,-8.8,-49.87
4.4,1.2,-11.2042,-8.2575,-61.3318
4.5,1.2,-12.8779,-7.7082,-66.928
4.6,1.2,-13.4994,-7.167,-68.3316
4.7,1.2,-13.4272,-6.6428,-66.9944
4.8,1.2,-12.9419,-6.1405,-64.0486
4.9,1.2,-12.2377,-5.6645,-60.2798
5,1.2,-11.4362,-5.2161,-56.177
4,1.3,15.2101,-9.3493,42.1418
4.1,1.3,4.7,-8.842,1.116
4.2,1.3,-2.8219,-8.3008,-27.8892
4.3,1.3,-7.9321,-7.7515,-47.2314
4.4,1.3,-11.1139,-7.209,-58.8736
4.5,1.3,-12.8089,-6.6829,-64.6014
4.6,1.3,-13.436,-6.1787,-66.1014
4.7,1.3,-13.3658,-5.7009,-64.865
4.8,1.3,-12.8829,-5.25,-62.0316
4.9,1.3,-12.1869,-4.8273,-58.4022
5,1.3,-11.3936,-4.4342,-54.4428
4,1.4,15.8691,-8.3434,46.7896
4.1,1.4,5.2726,-7.7947,5.501
4.2,1.4,-2.3566,-7.2517,-23.9298
4.3,1.4,-7.5746,-6.7237,-43.7458
4.4,1.4,-10.8474,-6.2182,-55.826
4.5,1.4,-12.607,-5.7385,-61.905
4.6,1.4,-13.2793,-5.2845,-63.6862
4.7,1.4,-13.241,-4.8599,-62.6838
4.8,1.4,-12.7845,-4.4636,-60.0652
4.9,1.4,-12.1072,-4.1005,-56.6298
5,1.4,-11.3328,-3.7657,-52.8626
4,1.5,16.927,-7.2937,53.1206
4.1,1.5,6.1417,-6.7657,11.0354
4.2,1.5,-1.6536,-6.2571,-19.1286
4.3,1.5,-7.0184,-5.7749,-39.6234
4.4,1.5,-10.4185,-5.3202,-52.3144
4.5,1.5,-12.2847,-4.8919,-58.9226
4.6,1.5,-13.0391,-4.495,-61.1464
4.7,1.5,-13.0623,-4.1281,-60.5054
4.8,1.5,-12.649,-3.7908,-58.1776
4.9,1.5,-12.005,-3.4803,-54.9806
5,1.5,-11.255,-3.1969,-51.4138
