a,b,theta,E,E_p,E_t
6.63961140749364,7.263302303875305,10.0,-53.1132,-3.486,-11.5353
6.836572958096082,7.29803193940869,10.0,-51.2546,-3.3969,-11.1152
7.033534508698523,7.332761574942077,10.0,-48.7198,-3.3023,-10.5288
7.230496059300965,7.367491210475463,10.0,-45.8328,-3.2032,-9.8566
7.427457609903406,7.4022208460088486,10.0,-42.8028,-3.1016,-9.1499
7.624419160505848,7.436950481542235,10.0,-39.7638,-2.9981,-8.4419
7.82138071110829,7.471680117075621,10.0,-36.799,-2.8953,-7.7521
5.817035569550487,7.321345312344202,10.0,-39.5944,-3.3336,-8.2318
6.013997120152929,7.356074947877588,10.0,-47.4696,-3.2364,-10.2492
6.210958670755371,7.390804583410974,10.0,-51.2608,-3.1354,-11.2475
6.407920221357813,7.42553421894436,10.0,-52.274,-3.0326,-11.5522
6.604881771960255,7.460263854477747,10.0,-51.464,-2.9298,-11.4011
6.801843322562696,7.494993490011132,10.0,-49.5402,-2.8257,-10.9722
6.998804873165136,7.5297231255445185,10.0,-46.9978,-2.7247,-10.3871
7.195766423767578,7.564452761077905,10.0,-44.1294,-2.6237,-9.7205
7.39272797437002,7.59918239661129,10.0,-41.142,-2.5272,-9.0219
7.589689524972462,7.633912032144677,10.0,-38.1598,-2.4331,-8.3234
7.786651075574904,7.668641667678063,10.0,-35.2674,-2.3403,-7.6467
5.782305934017102,7.518306862946644,10.0,-38.7266,-2.7579,-8.3027
5.979267484619544,7.55303649848003,10.0,-46.244,-2.6576,-10.2322
6.1762290352219855,7.587766134013416,10.0,-49.8134,-2.5585,-11.1741
6.373190585824426,7.622495769546802,10.0,-50.684,-2.4632,-11.4394
6.570152136426868,7.6572254050801885,10.0,-49.806,-2.3704,-11.2663
6.76711368702931,7.691955040613574,10.0,-47.8746,-2.2801,-10.8286
6.964075237631751,7.72668467614696,10.0,-45.3564,-2.1936,-10.2423
7.161036788234193,7.761414311680347,10.0,-42.538,-2.1102,-9.5794
7.357998338836635,7.796143947213732,10.0,-39.6108,-2.0286,-8.8884
7.554959889439076,7.8308735827471185,10.0,-36.7024,-1.9502,-8.2005
7.751921440041518,7.865603218280505,10.0,-33.8892,-1.8756,-7.5345
