a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
7.417217126728709,6.442428897160008,7.142486255152171,5.978703044554255,25.0,15.643018945967503,22.75922451362173,2.2,2.4,-70.096932004,-8.894782312,-12.74671793,-13.40696576
7.390880184730212,6.480346448683305,7.142486255152171,5.978703044554255,25.0,14.896489092867995,23.528061263261336,2.2,2.5,-69.57995160600001,-8.823903803,-12.74671793,-13.21935407
7.3658068061168755,6.519577447577589,7.142486255152171,5.978703044554255,25.0,14.14474846858293,24.284506981196824,2.2,2.6,-68.973856014,-8.763646527,-12.74671793,-12.97656355
7.342009936321095,6.560098329671767,7.142486255152171,5.978703044554255,25.0,13.388003781287114,25.028976849206103,2.2,2.7,-68.312577192,-8.713642766,-12.74671793,-12.6959279
7.31950202575542,6.601885343972759,7.142486255152171,5.978703044554255,25.0,12.6264714795499,25.761910178957205,2.2,2.8,-67.632388988,-8.672429164,-12.74671793,-12.3970474
7.298294999863851,6.644914604038362,7.142486255152171,5.978703044554255,25.0,11.860377521385136,26.483769139272393,2.2,2.9,-66.96772538,-8.63767766,-12.74671793,-12.0994671
7.2784002297920996,6.689162136991621,7.142486255152171,5.978703044554255,25.0,11.089957100111784,27.19503742304985,2.2,3.0,-66.349521342,-8.606710041,-12.74671793,-11.8213327
7.259828503831043,6.734603930073566,7.142486255152171,5.978703044554255,25.0,10.315454326963431,27.89621887025572,2.2,3.1,-65.804759832,-8.576840566,-12.74671793,-11.57882142
7.24258999978859,6.781215974658403,7.142486255152171,5.978703044554255,25.0,9.537121870727722,28.58783606325288,2.2,3.2,-65.354589182,-8.545506481,-12.74671793,-11.38507018
7.226694258444707,6.828974307680643,7.142486255152171,5.978703044554255,25.0,8.755220555052803,29.27042891046478,2.2,3.3,-65.01349985200001,-8.510374706,-12.74671793,-11.24965729
7.212150158242526,6.877855050447219,7.142486255152171,5.978703044554255,25.0,7.970018914422777,29.944553233998498,2.2,3.4,-64.79025939799999,-8.469757239,-12.74671793,-11.17865453
7.198965891365071,6.927834444829229,7.142486255152171,5.978703044554255,25.0,7.18179271017379,30.610779376388844,2.2,3.5,-64.686195644,-8.422564722,-12.74671793,-11.17381517
7.187148941342296,6.978888886847413,7.142486255152171,5.978703044554255,25.0,6.390824408290898,31.269690841094267,2.2,3.6,-64.695725014,-8.367970097,-12.74671793,-11.23317448
7.176706062326762,7.030994957682896,7.142486255152171,5.978703044554255,25.0,5.5974026210892145,31.921882980794784,2.2,3.7,-64.806967474,-8.305236667,-12.74671793,-11.35152914
7.167643260168414,7.084129452160111,7.142486255152171,5.978703044554255,25.0,4.801821515234758,32.56796174693304,2.2,3.8,-65.001027462,-8.233918901,-12.74671793,-11.5198769
7.159965775409662,7.138269404762076,7.142486255152171,5.978703044554255,25.0,4.004380188896136,33.20854251332407,2.2,3.9,-65.25418759,-8.154191245,-12.74671793,-11.72618462
7.153678068311272,7.193392113249653,7.142486255152171,5.978703044554255,25.0,3.2053820211323143,33.84424898605684,2.2,4.0,-65.537294994,-8.066470367,-12.74671793,-11.9554592
9.523923031242834,6.215697072329243,7.142486255152171,5.978703044554255,25.0,41.413769568796056,-21.388593325973055,2.3,-1.7,-64.332777002,-9.527092764,-12.82943881,-9.809856927
9.458071151404903,6.189094448702679,7.142486255152171,5.978703044554255,25.0,40.95945345270755,-20.018945702331543,2.3,-1.6,-64.38726745999999,-9.603047829,-12.82943881,-9.761147091
9.392822254521677,6.1639995210060095,7.142486255152171,5.978703044554255,25.0,40.49879606147781,-18.664055642978028,2.3,-1.5,-64.51557191999999,-9.668507162,-12.82943881,-9.759839988
9.328188993852864,6.140430774380762,7.142486255152171,5.978703044554255,25.0,40.031724510738606,-17.323556013928634,2.3,-1.4,-64.72711307,-9.722411526,-12.82943881,-9.811706199
9.26418425470034,6.11840584588521,7.142486255152171,5.978703044554255,25.0,39.55816728276994,-15.997154206061786,2.3,-1.3,-65.02666501,-9.763990339,-12.82943881,-9.919903356
9.200821153844785,6.097941463720549,7.142486255152171,5.978703044554255,25.0,39.078054404781426,-14.684624707858497,2.3,-1.2,-65.41376464,-9.79259601,-12.82943881,-10.0848475
9.138113038534689,6.079053388066461,7.142486255152171,5.978703044554255,25.0,38.591317636240326,-13.385802375203653,2.3,-1.1,-65.881697582,-9.808011421,-12.82943881,-10.30339856
9.076073484995463,6.061756353975498,7.142486255152171,5.978703044554255,25.0,38.09789066534758,-12.10057626922969,2.3,-1.0,-66.418508546,-9.810664533,-12.82943881,-10.56915093
9.0147162964254,6.046064016776726,7.142486255152171,5.978703044554255,25.0,37.597709314726245,-10.828883958148646,2.3,-0.9,-67.00608756599999,-9.801246863,-12.82943881,-10.87235811
8.954055500444348,6.031988900434277,7.142486255152171,5.978703044554255,25.0,37.090711756345144,-9.570706199375005,2.3,-0.8,-67.620825244,-9.780828942,-12.82943881,-11.20014487
8.894105345960194,6.019542349295527,7.142486255152171,5.978703044554255,25.0,36.57683873565461,-8.326061934996929,2.3,-0.7,-68.235377156,-9.751087478,-12.82943881,-11.53716229
8.834880299417627,6.008734483646479,7.142486255152171,5.978703044554255,25.0,36.05603380485901,-7.095003547559682,2.3,-0.6,-68.821052322,-9.714547571,-12.82943881,-11.86653978
8.776395040393162,5.999574159468513,7.142486255152171,5.978703044554255,25.0,35.52824356519432,-5.877612334750665,2.3,-0.5,-69.349208654,-9.674458467,-12.82943881,-12.17070705
8.718664456500072,5.992068932761231,7.142486255152171,5.978703044554255,25.0,34.993417918016135,-4.6739941713479585,2.3,-0.4,-69.793682768,-9.634399484,-12.82943881,-12.43300309
8.661703637566786,5.986225028760806,7.142486255152171,5.978703044554255,25.0,34.45151032443596,-3.4842753350383786,2.3,-0.3,-70.132777886,-9.597963743,-12.82943881,-12.63898639
8.605527869052409,5.982047316342651,7.142486255152171,5.978703044554255,25.0,33.902478073169114,-2.3085984796729577,2.3,-0.2,-70.350916678,-9.568802099,-12.82943881,-12.77721743
8.550152624663356,5.979539287851725,7.142486255152171,5.978703044554255,25.0,33.34628255617865,-1.1471187453957112,2.3,-0.1,-70.440927962,-9.549981191,-12.82943881,-12.84104398
8.495593558135752,5.978703044554255,7.142486255152171,5.978703044554255,25.0,32.78288955161441,0.0,2.3,0.0,-70.40470808399999,-9.543476422,-12.82943881,-12.82943881
8.441866494149128,5.979539287851725,7.142486255152171,5.978703044554255,25.0,32.212269513455375,1.1325887900518008,2.3,0.1,-70.252275862,-9.549981191,-12.82943881,-12.74671793
8.388987418338264,5.982047316342651,7.142486255152171,5.978703044554255,25.0,31.634397867168232,2.2504770571762975,2.3,0.2,-70.002249538,-9.568802099,-12.82943881,-12.60288386
8.336972466371572,5.986225028760806,7.142486255152171,5.978703044554255,25.0,31.049255310593615,3.353495994358174,2.3,0.3,-69.678434286,-9.597963743,-12.82943881,-12.41181459
8.285837912066448,5.992068932761231,7.142486255152171,5.978703044554255,25.0,30.45682811916665,4.441481774511429,2.3,0.4,-69.307761628,-9.634399484,-12.82943881,-12.19004252
8.235600154514405,5.999574159468513,7.142486255152171,5.978703044554255,25.0,29.857108454469262,5.514278619563483,2.3,0.5,-68.918712954,-9.674458467,-12.82943881,-11.9554592
