R1,R2,Eheri,Epara,Etotal
4.5,1.6,-12.7431,-7.0642,-65.1008
4.6,1.6,-11.9743,-7.5157,-62.9286
4.7,1.6,-11.1421,-7.7489,-60.0662
4.8,1.6,-10.2931,-7.8079,-56.7882
3.8,1.7,1.411,-1.5201,2.6038
3.9,1.7,-5.4068,-3.4735,-28.5742
4,1.7,-9.7701,-4.9854,-49.0512
4.1,1.7,-12.2521,-6.1135,-61.2354
4.2,1.7,-13.3796,-6.9093,-67.337
4.3,1.7,-13.6116,-7.4247,-69.2958
4.4,1.7,-13.2987,-7.7082,-68.6112
4.5,1.7,-12.6854,-7.8066,-66.3548
4.6,1.7,-11.9266,-7.7627,-63.2318
4.7,1.7,-11.1058,-7.6122,-59.6476
4.8,1.7,-10.2667,-7.3834,-55.8336
3.8,1.8,1.5044,-5.8614,-5.7052
3.9,1.8,-5.2832,-6.7368,-34.6064
4,1.8,-9.6371,-7.3181,-53.1846
4.1,1.8,-12.1179,-7.6555,-63.7826
4.2,1.8,-13.2498,-7.7979,-68.595
4.3,1.8,-13.4918,-7.7847,-69.5366
4.4,1.8,-13.1933,-7.6586,-68.0904
4.5,1.8,-12.597,-7.4467,-65.2814
4.6,1.8,-11.8558,-7.1752,-61.7736
4.7,1.8,-11.0493,-6.8629,-57.923
4.8,1.8,-10.2241,-6.5299,-53.9562
3.8,1.9,1.848,-7.5903,-7.7886
3.9,1.9,-4.9559,-7.7778,-35.3792
4,1.9,-9.3443,-7.801,-52.9792
4.1,1.9,-11.8645,-7.7,-62.858
4.2,1.9,-13.0372,-7.5069,-67.1626
4.3,1.9,-13.3156,-7.2479,-67.7582
4.4,1.9,-13.051,-6.945,-66.094
4.5,1.9,-12.4828,-6.6152,-63.1616
4.6,1.9,-11.7636,-6.2709,-59.5962
4.7,1.9,-10.9766,-5.9241,-55.7546
4.8,1.9,-10.1676,-5.5792,-51.8288
3.8,2,2.4093,-7.7345,-5.8318
3.9,2,-4.4486,-7.5621,-32.9186
4,2,-8.9078,-7.3181,-50.2674
4.1,2,-11.5046,-7.0247,-60.0678
4.2,2,-12.7512,-6.6998,-64.4044
4.3,2,-13.0924,-6.3587,-65.087
4.4,2,-12.8767,-6.0113,-63.5294
4.5,2,-12.3474,-5.6664,-60.7224
4.6,2,-11.6551,-5.3278,-57.276
4.7,2,-10.8894,-5.0004,-53.5584
4.8,2,-10.0987,-4.6875,-49.7698
