R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.9,0.7,58.0,28.0,-1059765.4598105482,-1059765.420189567,-14.717506588203833,-10.003124359762296,-6.712675273185596,-2119593.746612557
5.1,1.2,58.0,86.0,-1059767.9990548638,-1059768.0041376948,-12.720700741978362,-12.942475326359272,-3.209732475457713,-2119593.7490096465
5.2,1.0,58.0,86.0,-1059767.9992242914,-1059768.0024998938,-12.358031337615103,-12.569213553098962,-3.983358178520575,-2119593.822930324
4.9,0.8,58.0,-26.0,-1059765.332651922,-1059765.3722164275,-12.353350112913176,-12.258062719600275,-5.883050577482209,-2119591.6937951697
4.9,0.9,58.0,-26.0,-1059765.3329719522,-1059765.373308295,-12.367393787018955,-12.35532676964067,-5.436734089627862,-2119591.0251895394
5.1,0.9,58.0,86.0,-1059767.9988603357,-1059768.0019351346,-13.06938294856809,-13.1032182876952,-4.873518764274195,-2119598.0930354716
4.8,0.5,58.0,28.0,-1059765.4592457893,-1059765.4212877094,-13.944414268480614,-9.374597793677822,-6.192362806526944,-2119589.903283236
4.8,0.8,58.0,-26.0,-1059765.3328087996,-1059765.372316829,-12.04788452014327,-11.529605185613036,-6.0784195410087705,-2119590.016944122
5.1,1.1,58.0,86.0,-1059767.9991489903,-1059768.0037235382,-12.880176133476198,-13.038390229688957,-3.733897853642702,-2119595.307800962
4.8,0.9,58.0,-26.0,-1059765.333022153,-1059765.373446347,-12.097213081317022,-11.692193026887253,-5.697106814011931,-2119589.6794943446
4.9,1.1,58.0,86.0,-1059767.9992242914,-1059768.0043761486,-13.304109339602292,-13.002954740310088,-4.361552180489525,-2119597.340832961
5.0,0.6,58.0,86.0,-1059767.9985591308,-1059768.0004479361,-13.200670591089875,-12.860058162827045,-6.306368823396042,-2119600.733202222
4.9,1.2,58.0,86.0,-1059767.999255667,-1059768.00447655,-13.18822079221718,-12.993880945490673,-3.7941074380651116,-2119595.9561505686
4.9,1.0,58.0,-26.0,-1059765.3327899743,-1059765.3743499615,-12.333822001470253,-12.401160100242123,-4.898788592312485,-2119589.974681324
5.1,1.0,58.0,86.0,-1059767.9990548638,-1059768.0029203254,-12.996623164275661,-13.09139599953778,-4.299259262857959,-2119596.776532043
5.2,0.9,58.0,86.0,-1059767.999130165,-1059768.0015649039,-12.452364915981889,-12.612825497519225,-4.555258242413402,-2119595.2415923807
5.2,1.2,58.0,86.0,-1059767.9990234883,-1059768.0038678655,-12.06617016158998,-12.377998705720529,-2.9467744098510593,-2119590.784777908
5.1,1.1,59.0,87.0,-1059767.9971284082,-1059768.0021735886,-12.835541347041726,-13.100494894431904,-3.478890339611098,-2119594.829155159
5.2,0.5,59.0,87.0,-1059767.9971095826,-1059767.9979316208,-12.531004468677565,-12.580464807571843,-6.315517919138074,-2119598.8490155945
5.1,0.9,59.0,87.0,-1059767.9971472335,-1059768.0003977353,-13.05433525913395,-13.17073836363852,-4.613371944054961,-2119597.6744361026
5.1,1.2,59.0,87.0,-1059767.9968523036,-1059768.0022865403,-12.660509982844815,-12.999120654305443,-2.986043985467404,-2119593.2904880894
5.1,1.0,59.0,87.0,-1059767.9972288096,-1059768.0014833275,-12.96699214167893,-13.157058645738289,-4.032793416175991,-2119596.312400544
5.1,0.8,59.0,87.0,-1059767.9969589803,-1059767.9992242914,-13.097081240266562,-13.143473054515198,-5.196774265728891,-2119598.870840393
4.8,0.5,59.0,28.0,-1059765.4592646146,-1059765.4212124085,-13.813258402980864,-9.23063444904983,-6.919879075605422,-2119590.8080208786
5.2,0.6,59.0,87.0,-1059767.9970719323,-1059767.997737093,-12.564915109425783,-12.663346328306943,-5.9329752726480365,-2119598.3172824457
5.1,0.7,59.0,87.0,-1059767.9967770025,-1059767.9982767515,-13.095694442745298,-13.077320950338617,-5.729825185844675,-2119599.800734912
4.8,0.6,59.0,28.0,-1059765.459528169,-1059765.4203464445,-13.888829432660714,-9.341239362489432,-7.119559032376856,-2119591.5791302687
4.8,1.1,59.0,-26.0,-1059765.3319993117,-1059765.3757179333,-11.798643823014572,-11.63484488800168,-4.399510260205716,-2119586.3737151874
5.1,0.6,59.0,87.0,-1059767.9967205266,-1059767.9977935688,-13.052051122533157,-12.974371659569442,-6.167369083035737,-2119600.3820978254
4.8,1.2,59.0,-26.0,-1059765.3307819422,-1059765.37582461,-11.632968632737175,-11.587631035596132,-3.8250436808448285,-2119584.7978932504
4.9,0.5,59.0,29.0,-1059765.5073256055,-1059765.4705346941,-14.422457661479712,-9.774742095498368,-7.106757828500122,-2119593.5857754704
4.8,1.0,59.0,-26.0,-1059765.3328213496,-1059765.3752661261,-11.8947407042142,-11.610491224797443,-4.985817953944206,-2119587.690187242
4.9,0.6,59.0,28.0,-1059765.4594465925,-1059765.4206162738,-14.584204638842493,-9.875739829614758,-7.026995032094419,-2119593.853941867
5.2,1.0,59.0,87.0,-1059767.997316661,-1059768.0010566206,-12.351963315857574,-12.678400292759761,-3.7135916298720986,-2119593.4862837587
