a,b,theta,E,E_p,E_t,machine_type,status,file_name
5.4,9.8,0.0,-26.511609749635678,-1.3344426857074725,-5.960681094555183,1,Done,anthracene_theta=0_a=5.4_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,5.0,-26.22084671584889,-0.5264608096331358,-6.291981274145655,1,Done,anthracene_theta=5_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,0.0,-25.964614301687106,-0.5085027284221724,-6.23690221121069,2,Done,anthracene_theta=0_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,5.0,-24.040134003385898,-5.447512201499194,-3.2862774000968784,1,Done,anthracene_theta=5_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,5.0,-26.336353735765442,-0.4681061446899548,-6.350035361596383,1,Done,anthracene_theta=5_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,0.0,-23.67072639637627,-5.240944694727659,-3.297209251730237,2,Done,anthracene_theta=0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.8,0.0,-26.546747799031444,-1.218849068507552,-6.027262415504082,1,Done,anthracene_theta=0_a=5.5_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.6,0.0,-26.024719720007855,-0.5085027284221724,-6.251928565790878,2,Done,anthracene_theta=0_a=6.3_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,5.0,-24.935229328228157,-5.824984567123464,-3.321315048495308,1,Done,anthracene_theta=5_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,5.0,-26.358040482038625,-0.4193724631331861,-6.379823888943068,1,Done,anthracene_theta=5_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,0.0,-24.62554059247486,-5.640544317546301,-3.336112989345565,2,Done,anthracene_theta=0_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.8,0.0,-26.33419259241782,-1.0960503817768767,-6.035522957216017,1,Done,anthracene_theta=0_a=5.6_b=9.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,10.0,-27.369885296328,-0.4662349099526182,-6.6093538691056875,2,Done,anthracene_theta=10_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,10.0,-27.139174970099702,-0.4202585073653609,-6.574664488842245,1,Done,anthracene_theta=10_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,5.0,-26.31535976193845,-0.4681061446899548,-6.3447868681396375,1,Done,anthracene_theta=5_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,5.0,-24.55670274561271,-5.824984567123464,-3.2266834028414446,2,Done,anthracene_theta=5_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,10.0,-27.274722150061283,-0.4662349099526182,-6.585563082539013,1,Done,anthracene_theta=10_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,0.0,-24.25770929059945,-5.640544317546301,-3.2441551638767123,2,Done,anthracene_theta=0_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.0,10.0,-19.31162025034428,-3.3522199160652235,-3.1517951045534573,1,Done,anthracene_theta=10_a=3.4_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,10.0,-22.73622595472261,-5.109844050486572,-3.1291344634373672,1,Done,anthracene_theta=10_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,5.0,-26.40731256711297,-0.4193724631331861,-6.392141910211649,2,Done,anthracene_theta=5_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,5.0,-24.149790121708065,-5.824984567123464,-3.124955246865284,1,Done,anthracene_theta=5_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,0.0,-23.860525580821555,-5.640544317546301,-3.1448592364322394,2,Done,anthracene_theta=0_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,10.0,-27.16805298021063,-0.4662349099526182,-6.558895790076349,1,Done,anthracene_theta=10_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,10.0,-19.0580158487428,-3.3522199160652235,-3.088394004153088,1,Done,anthracene_theta=10_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,5.0,-26.27771418192424,-0.3756889820797369,-6.381584054441191,2,Done,anthracene_theta=5_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,5.0,-24.325113904662427,-5.447512201499194,-3.3575223754160106,1,Done,anthracene_theta=5_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,10.0,-27.28986271121539,-0.4202585073653609,-6.612336424121168,1,Done,anthracene_theta=10_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,0.0,-23.9425612189807,-5.240944694727659,-3.3651679573813453,2,Done,anthracene_theta=0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,5.0,-26.172746819211174,-0.3756889820797369,-6.355342213762922,2,Done,anthracene_theta=5_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,10.0,-18.756482233526185,-3.3522199160652235,-3.0130106003489345,1,Done,anthracene_theta=10_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,5.0,-25.27888894476928,-5.824984567123464,-3.4072299526305865,1,Done,anthracene_theta=5_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,10.0,-26.97933311318048,-0.4202585073653609,-6.534704024612437,1,Done,anthracene_theta=10_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,5.0,-26.27797773596831,-0.4681061446899548,-6.335441361647098,2,Done,anthracene_theta=5_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,0.0,-24.95778956706636,-5.640544317546301,-3.419175232993439,2,Done,anthracene_theta=0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,10.0,-23.04932332388125,-5.109844050486572,-3.207408805727028,1,Done,anthracene_theta=10_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,5.0,-25.484438629820946,-5.8646871246164665,-3.4387660951470025,1,Done,anthracene_theta=5_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.2,10.0,-27.01026433543302,-0.3778865219792351,-6.563622822868638,1,Done,anthracene_theta=10_a=6.7_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,5.0,-26.44330403022468,-0.4193724631331861,-6.401139775989576,2,Done,anthracene_theta=5_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,0.0,-25.215645976597447,-5.698917807894759,-3.4544525902019814,2,Done,anthracene_theta=0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,10.0,-22.38340218202211,-5.109844050486572,-3.0409285202622414,1,Done,anthracene_theta=10_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.3,10.0,-26.81685320334509,-0.3778865219792351,-6.515270039846655,1,Done,anthracene_theta=10_a=6.7_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,5.0,-25.09020672715269,-5.8646871246164665,-3.34020811947994,1,Done,anthracene_theta=5_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,5.0,-26.37206909526139,-0.3756889820797369,-6.405172782775482,2,Done,anthracene_theta=5_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,0.0,-24.83125845086761,-5.698917807894759,-3.3583557087695226,2,Done,anthracene_theta=0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.4,10.0,-26.61631355760619,-0.3778865219792351,-6.465135128411927,1,Done,anthracene_theta=10_a=6.7_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,10.0,-24.99693615129217,-6.00479755748529,-3.246835259080399,1,Done,anthracene_theta=10_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,5.0,-26.22453898401,-0.4681061446899548,-6.3220816736575225,2,Done,anthracene_theta=5_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,5.0,-24.668660569470376,-5.8646871246164665,-3.2348215800593607,1,Done,anthracene_theta=5_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,10.0,-27.214338117977604,-0.5194439928745851,-6.5438625330571085,1,Done,anthracene_theta=10_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,0.0,-24.418673135573048,-5.698917807894759,-3.2552093799458817,2,Done,anthracene_theta=0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.0,5.0,-26.46634117770009,-0.4193724631331861,-6.406899062858429,2,Done,anthracene_theta=5_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,10.0,-24.63147432729602,-6.00479755748529,-3.1554698030813597,1,Done,anthracene_theta=10_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,5.0,-25.58020418602973,-5.824984567123464,-3.4825587629457004,1,Done,anthracene_theta=5_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.0,5.0,-26.45610021450557,-0.3756889820797369,-6.426180562586524,2,Done,anthracene_theta=5_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,10.0,-27.20400679297745,-0.5194439928745851,-6.541279701807071,1,Done,anthracene_theta=10_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,0.0,-25.24691605404951,-5.640544317546301,-3.4914568547392264,2,Done,anthracene_theta=0_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,10.0,-24.23419774672948,-6.00479755748529,-3.0561506579397246,1,Done,anthracene_theta=10_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,5.0,-25.84478750266135,-5.8646871246164665,-3.528853313357104,1,Done,anthracene_theta=5_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.9,5.0,-26.155374831752855,-0.4681061446899548,-6.304790635593236,2,Done,anthracene_theta=5_a=6.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,10.0,-27.179511312628165,-0.5194439928745851,-6.535155831719749,1,Done,anthracene_theta=10_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,0.0,-25.56549535156228,-5.698917807894759,-3.5419149339431897,2,Done,anthracene_theta=0_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,5.0,-25.62395669333637,-5.700132667319847,-3.555922839674168,1,Done,anthracene_theta=5_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,12.9,10.0,-23.31434840802104,-5.109844050486572,-3.273665076761972,1,Done,anthracene_theta=10_a=3.5_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,5.0,-26.476931036217128,-0.4193724631331861,-6.409546527487693,2,Done,anthracene_theta=5_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,10.0,-27.45352484891191,-0.4662349099526182,-6.630263757251671,1,Done,anthracene_theta=10_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,5.0,-25.21340200048872,-5.700132667319847,-3.453284166462254,1,Done,anthracene_theta=5_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,5.0,-26.53020663559437,-0.3756889820797369,-6.4447071678587236,2,Done,anthracene_theta=5_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,0.0,-25.39257116615772,-5.551195678999648,-3.5725449520396078,2,Done,anthracene_theta=0_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,10.0,-25.322922575753182,-6.00479755748529,-3.3283318651956506,1,Done,anthracene_theta=10_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,10.0,-27.43132605566643,-0.4202585073653609,-6.647702260233928,1,Done,anthracene_theta=10_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,5.0,-26.475542984204374,-0.4193724631331861,-6.409199514484499,2,Done,anthracene_theta=5_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.0,5.0,-24.7767654825002,-5.700132667319847,-3.3441250369651243,1,Done,anthracene_theta=5_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,0.0,-24.990964766126126,-5.551195678999648,-3.472143352031708,2,Done,anthracene_theta=0_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,10.0,-26.125048529356718,-6.331346231396309,-3.3655890166410245,1,Done,anthracene_theta=10_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,10.0,-27.21049273665995,-0.5194439928745851,-6.5429011877276935,1,Done,anthracene_theta=10_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.8,5.0,-26.59488534624689,-0.3756889820797369,-6.460876845521853,2,Done,anthracene_theta=5_a=6.6_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,5.0,-25.830271942075342,-5.824984567123464,-3.545075701957103,1,Done,anthracene_theta=5_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.0,10.0,-27.52565586892888,-0.4662349099526182,-6.648296512255911,1,Done,anthracene_theta=10_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.0,10.0,-25.74597977777012,-6.331346231396309,-3.2708218287443733,1,Done,anthracene_theta=10_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13.0,0.0,-24.562470817938447,-5.551195678999648,-3.3650198649847884,2,Done,anthracene_theta=0_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.8,5.0,-26.47922019311227,-0.3350275889970362,-6.452291253779548,2,Done,anthracene_theta=5_a=6.7_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
