a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.8,7.4,63.5,0,5,-41.90129751921632,-5.758824932621793,-7.5959119134931825,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,3,-42.393772386480116,-5.674847779329866,-7.761019206955098,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,2,-42.547032919712365,-5.674861584790051,-7.7993274375330675,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,1,-42.6423617284745,-5.674870369723068,-7.823155247257091,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,4,-42.17668404849246,-5.674821424065157,-7.706760300090536,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.5,64.0,0,10,-40.10914652934297,-5.674759927904232,-7.189906668383628,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,5,-41.89810223877429,-5.6747938136104485,-7.637128652888348,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,3,-42.242469686316326,-5.556440407410264,-7.7823972178739504,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,2,-42.382326604798436,-5.5564529575640345,-7.817355172417593,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,1,-42.46894306479953,-5.5564579776255405,-7.839006777387112,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,4,-42.043782450025894,-5.556422837194988,-7.732734193908982,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.5,64.5,0,10,-40.08045175182633,-5.556355066015384,-7.24193540494889,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,5,-41.78896318888293,-5.556400246801786,-7.669040673819836,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.2,63.5,0,3,-42.15264288429171,-5.6878962222253895,-7.694212609960233,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,63.5,0,2,-42.39701535832137,-5.687879906967282,-7.755313886096702,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,63.5,0,1,-42.53896565153264,-5.687869866960683,-7.790806479402818,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,63.5,0,4,-41.81732915109024,-5.6879175576614225,-7.610373508941847,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,3,-42.34023323492147,-5.6663073684321725,-7.751904624514282,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,10,-39.05617219931446,-5.688102045678535,-6.919992026989348,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,2,-42.5684761912562,-5.666296073002743,-7.8089710113126785,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,1,-42.700649877311655,-5.666293562971988,-7.842015687841923,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,63.5,0,5,-41.38510026293807,-5.687942657968961,-7.5023037367500365,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,4,-42.02746216952801,-5.6663136433344325,-7.673708720714785,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,3,-42.440481721190736,-5.620720021659508,-7.79976041946793,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,2,-42.65271815378219,-5.620723786880262,-7.852817645005414,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,1,-42.77530097728595,-5.620723786880262,-7.883463350881358,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,10,-39.388423684053116,-5.6664617357309925,-7.013875053147785,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,5,-41.62289643241093,-5.666331213666125,-7.572558501269668,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,4,-42.14988435059786,-5.620713746640831,-7.727114214329048,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,3,-42.51849376433529,-5.6878962222253895,-7.785675329971127,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,2,-42.70904596126638,-5.687879906967282,-7.833321536832955,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,1,-42.825303483754396,-5.687869866960683,-7.862390937458257,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,10,-39.63312999415211,-5.6208078732015565,-7.09787856193725,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,5,-41.77265796903521,-5.620709981652908,-7.632809501432347,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,4,-42.25135020725429,-5.6879175576614225,-7.718878772982862,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,3,-42.623255303828046,-5.620720021659508,-7.845453815127258,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,2,-42.784349671564996,-5.620723786880262,-7.885725524451117,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,1,-42.883205087156966,-5.620723786880262,-7.9104393783491105,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,63.5,0,10,-39.869410098996006,-5.688102045678535,-7.1233015019097365,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,63.5,0,5,-41.90730906510726,-5.687942657968961,-7.632855937292334,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,4,-42.394723692443215,-5.620713746640831,-7.78832404979039,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,63.5,0,3,-42.58327036676928,-5.6878962222253895,-7.801869480579628,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.9,7.4,63.5,0,2,-42.729194052284576,-5.687879906967282,-7.838358559587505,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
