R1,R2,heri,phi1,phi2,FF
5.0,0.8,58.0,-137.0,0.0,-76.25458790035691
5.0,0.8,58.0,-136.0,0.0,-76.58061269451944
5.0,0.8,58.0,-135.0,0.0,-72.03900413781466
5.0,0.8,58.0,-134.0,0.0,-61.58144496216536
5.0,0.8,58.0,-133.0,0.0,-41.40990994133571
5.0,0.8,58.0,-132.0,0.0,-2.420306216583851
5.0,0.8,58.0,-131.0,0.0,75.82403149277057
5.0,0.8,58.0,-130.0,0.0,237.91546862285895
5.0,0.8,58.0,-129.0,0.0,577.074189578784
5.0,0.8,58.0,-128.0,0.0,1273.1919166338503
5.0,0.8,58.0,-127.0,0.0,2626.593852028502
5.0,0.8,58.0,-126.0,0.0,5018.3554585872835
5.0,0.8,58.0,-125.0,0.0,8681.804811556149
5.0,0.8,58.0,-124.0,0.0,13306.967742737019
5.0,0.8,58.0,-123.0,0.0,17957.360155442504
5.0,0.8,58.0,-122.0,0.0,21968.79595186319
5.0,0.8,58.0,-121.0,0.0,26506.798488605804
5.0,0.8,58.0,-120.0,0.0,35439.091936654666
5.0,0.8,58.0,-119.0,0.0,55092.785983038026
5.0,0.8,58.0,-118.0,0.0,93431.64994790893
5.0,0.8,58.0,-117.0,0.0,158014.7838373847
5.0,0.8,58.0,-116.0,0.0,252000.70829507711
5.0,0.8,58.0,-115.0,0.0,372675.8724017991
5.0,0.8,58.0,-114.0,0.0,521790.90731606586
5.0,0.8,58.0,-113.0,0.0,719940.6047860776
5.0,0.8,58.0,-112.0,0.0,978249.5411783278
5.0,0.8,58.0,-111.0,0.0,1215006.9326848702
5.0,0.8,58.0,-110.0,0.0,1266306.6271972721
5.0,0.8,58.0,-109.0,0.0,1072675.9414805805
5.0,0.8,58.0,-108.0,0.0,756527.9575122643
5.0,0.8,58.0,-107.0,0.0,470206.2313559782
5.0,0.8,58.0,-106.0,0.0,279671.4462331583
5.0,0.8,58.0,-105.0,0.0,180398.2151059381
5.0,0.8,58.0,-104.0,0.0,147465.23459365455
5.0,0.8,58.0,-103.0,0.0,163574.55049540647
5.0,0.8,58.0,-102.0,0.0,227028.3851525464
5.0,0.8,58.0,-101.0,0.0,351815.77905334224
5.0,0.8,58.0,-100.0,0.0,564252.3062374463
5.0,0.8,58.0,-99.0,0.0,893027.2213210817
5.0,0.8,58.0,-98.0,0.0,1347614.665704135
5.0,0.8,58.0,-97.0,0.0,1888443.956114051
5.0,0.8,58.0,-96.0,0.0,2410390.754993279
5.0,0.8,58.0,-95.0,0.0,2769336.9763213424
5.0,0.8,58.0,-94.0,0.0,2852508.3754831357
5.0,0.8,58.0,-93.0,0.0,2643225.4149395707
5.0,0.8,58.0,-92.0,0.0,2224696.0314064627
5.0,0.8,58.0,-91.0,0.0,1724405.399450939
5.0,0.8,58.0,-90.0,0.0,1250659.8294290695
5.0,0.8,58.0,-89.0,0.0,862481.6584281264
5.0,0.8,58.0,-88.0,0.0,574054.8134392828
5.0,0.8,58.0,-87.0,0.0,373604.3532955485
5.0,0.8,58.0,-86.0,0.0,240357.37432309057
5.0,0.8,58.0,-85.0,0.0,154213.87587558874
5.0,0.8,58.0,-84.0,0.0,99369.95854188241
5.0,0.8,58.0,-83.0,0.0,64661.88886519567
5.0,0.8,58.0,-82.0,0.0,42676.183312297
5.0,0.8,58.0,-81.0,0.0,28664.675526187257
5.0,0.8,58.0,-80.0,0.0,19646.63372624427
5.0,0.8,58.0,-79.0,0.0,13768.22749581435
5.0,0.8,58.0,-78.0,0.0,9878.808487808625
5.0,0.8,58.0,-77.0,0.0,7262.0452812187905
5.0,0.8,58.0,-76.0,0.0,5469.147161877499
5.0,0.8,58.0,-75.0,0.0,4216.542331743884
5.0,0.8,58.0,-74.0,0.0,3323.304498831347
5.0,0.8,58.0,-73.0,0.0,2672.8083179137707
5.0,0.8,58.0,-72.0,0.0,2189.0952984240043
5.0,0.8,58.0,-71.0,0.0,1822.18301040597
5.0,0.8,58.0,-70.0,0.0,1538.8400727156836
5.0,0.8,58.0,-69.0,0.0,1316.7298396635724
5.0,0.8,58.0,-68.0,0.0,1140.6533540248884
5.0,0.8,58.0,-67.0,0.0,1000.1176254116488
5.0,0.8,58.0,-66.0,0.0,887.7523231620195
5.0,0.8,58.0,-65.0,0.0,798.2767874326719
5.0,0.8,58.0,-64.0,0.0,727.8278267122128
5.0,0.8,58.0,-63.0,0.0,673.5256688813461
5.0,0.8,58.0,-62.0,0.0,633.1976176313555
5.0,0.8,58.0,-61.0,0.0,605.2064189080322
5.0,0.8,58.0,-60.0,0.0,588.348910511601
5.0,0.8,58.0,-59.0,0.0,581.803659016133
5.0,0.8,58.0,-58.0,0.0,585.1160881202421
5.0,0.8,58.0,-57.0,0.0,598.2174809779016
5.0,0.8,58.0,-56.0,0.0,621.4813065122496
5.0,0.8,58.0,-55.0,0.0,655.8276605953411
5.0,0.8,58.0,-54.0,0.0,702.8955280981255
5.0,0.8,58.0,-53.0,0.0,765.3148739177975
5.0,0.8,58.0,-52.0,0.0,847.1290230682787
5.0,0.8,58.0,-51.0,0.0,954.4468054126603
5.0,0.8,58.0,-50.0,0.0,1096.4507308393272
5.0,0.8,58.0,-49.0,0.0,1286.9639254457422
5.0,0.8,58.0,-48.0,0.0,1546.904401562713
5.0,0.8,58.0,-47.0,0.0,1908.1630325750093
5.0,0.8,58.0,-46.0,0.0,2419.7848519217514
5.0,0.8,58.0,-45.0,0.0,3157.8984844329007
5.0,0.8,58.0,-44.0,0.0,4241.761393025981
5.0,0.8,58.0,-43.0,0.0,5859.770715176039
5.0,0.8,58.0,-42.0,0.0,8311.598425789152
5.0,0.8,58.0,-41.0,0.0,12076.013588606444
5.0,0.8,58.0,-40.0,0.0,17918.462544793594
5.0,0.8,58.0,-39.0,0.0,27057.095775965532
5.0,0.8,58.0,-38.0,0.0,41406.873796594824
5.0,0.8,58.0,-37.0,0.0,63908.46181449997
5.0,0.8,58.0,-36.0,0.0,98899.59080235437
5.0,0.8,58.0,-35.0,0.0,152363.15577498163
5.0,0.8,58.0,-34.0,0.0,231647.74457714902
5.0,0.8,58.0,-33.0,0.0,343928.28569020104
5.0,0.8,58.0,-32.0,0.0,492516.77768623055
5.0,0.8,58.0,-31.0,0.0,670823.9024961095
5.0,0.8,58.0,-30.0,0.0,856134.0356215014
5.0,0.8,58.0,-29.0,0.0,1008849.3175349636
5.0,0.8,58.0,-28.0,0.0,1083551.8775899543
5.0,0.8,58.0,-27.0,0.0,1050853.5463731152
5.0,0.8,58.0,-26.0,0.0,916287.1172632949
5.0,0.8,58.0,-25.0,0.0,719478.0775435024
5.0,0.8,58.0,-24.0,0.0,512643.66701275524
5.0,0.8,58.0,-23.0,0.0,335998.78135141043
5.0,0.8,58.0,-22.0,0.0,207104.06620138226
5.0,0.8,58.0,-21.0,0.0,125775.60629987191
5.0,0.8,58.0,-20.0,0.0,86178.41810570218
5.0,0.8,58.0,-19.0,0.0,91008.57084557295
5.0,0.8,58.0,-18.0,0.0,173866.13154331764
5.0,0.8,58.0,-17.0,0.0,449693.69453982345
5.0,0.8,58.0,-16.0,0.0,1206287.338421537
5.0,0.8,58.0,-15.0,0.0,2894584.2980537666
5.0,0.8,58.0,-14.0,0.0,5466879.1417820165
5.0,0.8,58.0,-13.0,0.0,7202468.768584832
5.0,0.8,58.0,-12.0,0.0,6156844.297871775
5.0,0.8,58.0,-11.0,0.0,3466293.4453821387
