R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.9,0.6,56.0,11.0,-1059765.0683007843,-1059765.0383246315,-12.157799171749502,-11.495236463379115,-6.052101771580055,-2119589.5169002293
4.9,0.5,56.0,11.0,-1059765.0674975715,-1059765.0376908465,-12.085717098088935,-11.300011826911941,-4.664608135353774,-2119586.205862539
5.2,0.9,56.0,-139.0,-1059766.3725865944,-1059766.352117218,-13.46395496162586,-10.911802765447646,-7.779461098602042,-2119597.035141464
5.1,0.5,56.0,11.0,-1059765.0671147904,-1059765.0373833666,-11.561627020826563,-10.512285973876715,-6.099892933154479,-2119586.452110013
4.8,1.2,56.0,-137.0,-1059766.482815001,-1059766.4660479338,-12.764243660960346,-13.32310406700708,-7.8689251989126205,-2119600.8614087887
4.9,1.2,56.0,-137.0,-1059766.483009529,-1059766.4657028033,-13.683206955902278,-13.481443665456027,-7.790141318924725,-2119602.8582962127
4.8,1.1,56.0,-137.0,-1059766.4832040572,-1059766.465564751,-12.969207252375782,-13.409913800191134,-7.4179714128840715,-2119600.542953739
5.1,0.7,56.0,11.0,-1059765.0686270895,-1059765.038607011,-11.685070788254961,-10.769972955342382,-6.376223236555234,-2119587.769768061
4.7,0.7,56.0,11.0,-1059765.0694554027,-1059765.0389709668,-10.401844213483855,-10.833106736419722,-6.000495349057019,-2119584.5793189676
5.1,0.6,56.0,11.0,-1059765.0678552522,-1059765.0380422522,-11.640599155100062,-10.659299016697332,-6.466785480035469,-2119587.639264808
4.6,0.7,56.0,11.0,-1059765.0696311055,-1059765.0390274427,-7.974070774856955,-9.295738612068817,-5.392369132721797,-2119575.4330155877
5.2,0.7,56.0,11.0,-1059765.068413736,-1059765.0384940591,-11.028143119532615,-10.057109045330435,-6.22577771381475,-2119584.7289675525
4.6,0.8,56.0,11.0,-1059765.0699950613,-1059765.0391403944,-7.85689583234489,-9.418077961308882,-6.298970480449498,-2119577.257024004
5.0,0.8,56.0,11.0,-1059765.069474228,-1059765.0390588182,-12.128977637505159,-11.425815031630918,-6.246567120309919,-2119589.711252625
4.6,0.9,56.0,11.0,-1059765.0701393886,-1059765.0390901938,-7.7360436813905835,-9.485742364544421,-6.472119314828888,-2119577.497040304
5.2,1.2,56.0,-137.0,-1059766.48339231,-1059766.465734179,-12.90673863189295,-11.758395331446081,-6.906293483683839,-2119596.091981383
4.7,0.6,56.0,11.0,-1059765.0687776918,-1059765.0385881858,-10.435378348222002,-10.660095954313874,-4.525100111728534,-2119581.348514706
5.2,0.5,56.0,10.0,-1059765.060889891,-1059765.033900686,-10.65536452876404,-10.120173800271004,-6.367877353681251,-2119584.381621943
5.1,1.2,56.0,-137.0,-1059766.483266808,-1059766.465558476,-13.534794565523043,-12.549591315211728,-7.268849936546758,-2119599.655296919
